event_type,latency_ms
hit,0.9763
hit,0.3278
hit,0.3068
hit,0.3409
hit,0.6635
hit,0.3011
hit,0.2849
miss,2.9874
hit,0.2367
hit,0.2494
hit,0.391
hit,2.2171
hit,0.3595
hit,0.3953
hit,0.4168
hit,0.5121
hit,0.3517
hit,0.344
hit,0.3459
hit,0.3543
hit,0.3073
hit,0.9983
hit,0.2854
hit,0.3133
hit,0.7064
hit,3.0224
miss,24.8637
hit,0.2484
hit,1.8864
hit,0.3426
hit,0.3419
hit,0.3002
hit,0.504
hit,0.298
hit,0.3016
hit,0.2546
hit,0.2627
hit,0.6762
hit,0.2773
hit,0.2768
hit,0.2983
hit,0.9108
hit,0.8996
hit,0.2873
miss,6.8762
hit,0.2925
hit,0.7465
hit,0.5798
hit,0.3705
hit,0.7813
hit,0.9499
hit,2.0187
hit,0.2892
hit,1.267
hit,0.3786
hit,0.3304
hit,0.3126
miss,3.8881
hit,0.9379
hit,0.494
hit,1.637
hit,0.9842
hit,0.3402
hit,0.8433
hit,0.3107
hit,0.3176
hit,0.3331
hit,0.489
hit,0.4537
hit,0.669
hit,2.5122
hit,0.9232
hit,0.7668
hit,0.6986
hit,0.3009
hit,0.689
hit,1.035
hit,0.2961
hit,0.7365
hit,0.7863
hit,0.3014
hit,0.6039
hit,0.6628
hit,0.6511
hit,2.1398
hit,0.3705
hit,2.6665
hit,0.7241
hit,0.3214
hit,2.0628
hit,0.3011
hit,1.9979
hit,0.3009
hit,0.3097
hit,0.2809
hit,0.6864
miss,24.9469
hit,0.3173
hit,2.0576
hit,0.3302
hit,0.3164
hit,1.6518
hit,0.7968
hit,2.4874
hit,1.8938
hit,0.4032
hit,0.387
hit,0.8166
hit,0.443
hit,2.5196
hit,0.4427
hit,0.8118
hit,0.5715
hit,0.3655
hit,1.1637
hit,0.808
hit,0.3245
hit,0.3486
hit,0.761
hit,0.33
hit,0.314
hit,0.3011
hit,0.9432
hit,0.7381
hit,0.2975
hit,0.864
hit,0.3228
hit,0.7317
hit,0.3738
hit,0.7582
hit,0.3362
hit,0.3042
hit,0.5028
hit,2.3911
hit,0.3035
hit,0.3033
hit,0.3462
hit,0.617
hit,0.2987
hit,0.2885
hit,0.2549
hit,0.248
hit,0.273
hit,0.2785
hit,0.6762
hit,0.7002
hit,1.3034
hit,0.3252
hit,0.6764
hit,0.7317
hit,1.8046
hit,0.7508
hit,1.087
hit,0.9441
hit,0.2942
miss,25.3832
hit,0.2978
hit,0.7212
hit,0.4416
hit,0.3607
hit,0.4306
miss,3.3984
hit,1.4262
hit,0.6971
hit,0.4578
hit,0.4573
hit,0.7305
hit,0.3021
hit,0.9809
hit,3.7966
hit,0.3374
hit,0.7348
hit,1.7588
hit,0.8621
hit,0.7536
hit,0.3016
hit,0.7627
hit,2.0244
hit,0.3035
hit,0.8636
hit,0.7374
hit,0.3426
hit,0.3111
hit,1.9839
hit,1.2429
hit,1.6029
hit,0.3965
hit,0.3369
hit,0.3242
hit,1.0309
hit,0.308
hit,0.8357
hit,0.3736
hit,0.3479
hit,0.3362
hit,0.2868
hit,0.2611
hit,0.2959
miss,4.9105
hit,0.9322
hit,0.33
hit,0.9348
hit,0.8428
miss,13.5274
hit,0.8733
hit,0.3145
hit,0.335
hit,0.2918
hit,0.3738
hit,0.315
hit,0.2661
hit,0.2635
hit,0.2439
hit,0.2515
hit,2.0359
hit,0.3474
hit,0.3238
hit,0.8655
hit,0.8056
hit,0.3655
hit,0.3321
hit,0.8645
hit,0.4339
hit,0.4201
hit,0.3312
hit,0.4551
hit,0.3512
hit,0.6907
hit,0.7124
hit,0.6726
hit,1.035
hit,0.3879
hit,0.2923
hit,0.3345
hit,1.1117
hit,1.6153
hit,0.9868
hit,1.0512
hit,0.289
hit,0.34
hit,0.3178
hit,0.3381
hit,0.365
hit,0.3088
hit,1.9159
hit,0.3467
hit,1.914
hit,0.3231
hit,1.8885
hit,0.324
hit,0.3281
hit,0.339
hit,0.3667
hit,0.3238
hit,0.4272
hit,2.1996
hit,0.2985
hit,0.2668
hit,0.3192
hit,0.3235
hit,0.3185
hit,0.3452
hit,0.5553
hit,0.3216
hit,0.3831
hit,0.3228
hit,0.7577
hit,0.3111
hit,0.4051
hit,0.3335
hit,0.7601
hit,0.3312
hit,0.3221
miss,17.6055
hit,1.5855
hit,0.6733
hit,0.3893
hit,0.4077
hit,0.3455
hit,0.4654
hit,1.3523
hit,0.3333
hit,0.3054
hit,0.4189
hit,0.4737
hit,0.5858
hit,0.3538
hit,0.309
hit,0.3533
hit,0.7012
hit,0.3374
hit,0.3309
hit,0.3464
hit,0.8628
hit,0.3386
hit,0.293
hit,0.8068
hit,0.3195
hit,0.8826
hit,0.3333
hit,0.3283
hit,0.3107
hit,0.2835
hit,0.3071
miss,12.9466
hit,0.7646
hit,0.3824
miss,14.5831
hit,0.2704
hit,0.7477
hit,1.8418
hit,0.32
hit,0.2713
hit,2.2678
hit,0.3734
hit,0.3216
hit,1.3349
hit,0.3364
hit,1.4231
hit,1.0858
hit,0.4818
hit,1.1055
hit,0.4909
hit,0.3963
hit,1.9922
hit,0.3271
hit,0.2983
hit,0.2887
hit,0.2992
hit,0.4187
hit,0.9828
hit,0.952
hit,0.4582
hit,0.3433
hit,0.4203
hit,0.3903
hit,0.3545
hit,0.6824
hit,0.3331
hit,0.3605
hit,0.8025
hit,0.4172
hit,1.9276
hit,0.3867
hit,0.3886
hit,0.474
hit,0.5715
hit,0.8547
hit,0.8373
hit,0.4609
hit,0.3695
miss,3.4952
hit,0.2527
hit,0.3314
hit,1.5242
hit,0.3433
hit,0.3049
hit,0.8993
hit,0.2611
hit,0.4444
hit,0.3402
hit,0.3369
hit,0.3452
hit,0.2947
hit,1.8649
hit,0.6475
hit,0.695
hit,1.3711
hit,0.3178
hit,2.5814
hit,0.9353
hit,0.3297
hit,0.2975
hit,0.3002
hit,0.3276
hit,0.2871
hit,0.381
hit,0.3486
hit,0.4394
hit,0.8187
hit,0.3936
hit,0.3538
hit,0.3037
hit,0.4268
hit,0.4454
hit,0.3295
hit,0.2952
hit,0.3307
hit,1.0378
hit,0.4385
hit,0.335
hit,0.3455
hit,0.3157
hit,0.3355
hit,0.3369
hit,0.3631
hit,0.701
hit,1.0579
hit,0.3493
hit,0.2935
hit,0.3214
hit,1.1828
hit,0.3235
hit,0.7827
hit,0.2897
hit,2.1305
hit,0.3264
hit,0.3576
hit,2.2268
hit,2.1753
hit,0.4163
hit,0.3352
hit,0.3669
hit,2.4254
hit,0.8287
hit,0.3164
hit,0.3309
hit,0.3216
hit,0.3328
hit,0.3109
hit,0.9472
hit,0.2992
hit,0.33
hit,0.3519
hit,0.9394
hit,0.3052
hit,0.9935
hit,0.294
hit,0.2768
hit,0.2534
hit,0.2425
hit,0.2871
hit,0.2887
hit,0.3304
hit,0.6418
hit,2.295
hit,1.7583
hit,0.3564
hit,0.3843
hit,0.3052
hit,0.3188
hit,0.5107
hit,0.7839
hit,0.8852
hit,2.4922
hit,0.6897
hit,0.3109
hit,0.7
hit,0.3114
hit,0.9358
hit,0.3045
hit,0.2973
hit,0.2806
hit,0.8523
hit,1.6196
hit,0.8645
hit,0.2916
hit,0.9432
hit,0.2947
hit,0.2847
hit,0.2813
hit,0.6897
hit,0.8163
hit,0.6437
hit,0.9134
hit,0.9308
hit,0.6449
hit,1.0505
hit,0.2968
hit,1.0505
hit,0.9677
hit,0.6971
hit,0.3424
hit,0.3431
hit,0.2916
hit,0.886
hit,0.3107
hit,0.2618
hit,0.2582
hit,0.2377
hit,2.0421
hit,2.5249
hit,0.3018
hit,0.3283
hit,0.3102
hit,0.3157
hit,0.5157
hit,0.9367
hit,0.4511
hit,0.417
hit,0.7939
hit,0.355
hit,0.752
hit,1.2391
hit,1.2274
hit,0.386
hit,0.4241
hit,0.3445
hit,0.7696
hit,0.4094
