event_type,latency_ms
hit,0.3092
hit,1.6472
hit,0.6666
hit,0.5994
hit,1.0779
hit,0.6602
hit,0.6945
hit,0.4504
hit,0.3967
hit,0.2868
hit,0.391
hit,1.4896
hit,0.6127
hit,0.5317
hit,0.2906
hit,0.7386
hit,0.5674
hit,0.3254
hit,0.5968
hit,0.808
miss,10.8938
hit,0.376
hit,0.6731
hit,0.6371
hit,0.5975
hit,0.5608
hit,0.9482
hit,0.7102
hit,0.4158
hit,0.2944
hit,0.5546
hit,1.8497
hit,0.5777
hit,1.3487
hit,0.3529
hit,0.5143
miss,12.7175
hit,0.8175
hit,0.5481
hit,0.2847
hit,0.9563
hit,0.6866
hit,0.2685
hit,0.2587
hit,0.6886
miss,11.7159
hit,0.2542
miss,5.4424
hit,0.3126
hit,1.0784
hit,0.5381
hit,1.6205
hit,0.6454
hit,0.2823
hit,0.2615
hit,0.2744
hit,0.2639
hit,0.2739
hit,0.7885
hit,0.7071
hit,0.2785
hit,0.2866
hit,0.2453
hit,0.3302
hit,0.9906
hit,0.7038
hit,0.8016
hit,0.3874
hit,1.7624
hit,1.5512
hit,0.3858
hit,0.3593
hit,0.6428
hit,2.5234
hit,0.3765
hit,2.0468
hit,0.8237
hit,0.6843
hit,0.5143
hit,0.3817
hit,0.9489
hit,0.3889
hit,0.9437
hit,0.4373
hit,0.3803
hit,0.3378
hit,0.3619
miss,4.5183
hit,0.3219
hit,0.2983
hit,0.4201
miss,19.839
hit,0.7646
hit,0.5817
hit,0.8423
miss,5.0836
hit,0.2739
