event_type,latency_ms
hit,0.4086
hit,0.5844
miss,7.3493
hit,0.3214
hit,0.3648
hit,0.3746
hit,0.3035
hit,0.5777
hit,0.329
hit,0.7014
hit,0.3526
hit,0.8559
hit,0.7398
miss,5.0514
hit,0.7324
hit,0.5469
hit,0.4504
hit,0.4172
hit,0.6614
hit,0.9434
hit,0.653
hit,0.4146
hit,0.4146
hit,0.4067
hit,0.7873
hit,0.4659
hit,0.8354
hit,1.6932
hit,0.4375
hit,0.5324
hit,0.4239
miss,8.3687
hit,0.3264
hit,0.7002
hit,0.4382
hit,0.3958
hit,1.5063
hit,0.4301
hit,0.69
hit,0.4473
hit,0.3355
hit,0.8521
hit,0.3438
hit,0.3519
hit,0.3247
hit,0.4048
hit,0.6576
hit,0.2978
hit,0.5825
hit,0.6137
hit,0.3836
hit,0.6602
hit,0.6084
hit,0.5791
hit,0.4144
hit,0.52
hit,0.7951
hit,0.3414
hit,1.7967
hit,1.3659
hit,0.3419
hit,0.7346
hit,0.3874
hit,0.4392
hit,0.6125
hit,0.4623
hit,0.8981
hit,0.9124
hit,0.3741
miss,22.1288
hit,0.4537
hit,0.3626
hit,0.4032
hit,1.1859
hit,0.6247
hit,2.6486
hit,0.3712
hit,0.3755
hit,0.2947
hit,0.7391
miss,11.6258
hit,0.2673
hit,0.2975
hit,0.3927
hit,0.3545
hit,0.3016
hit,1.2989
hit,1.0653
hit,1.6432
hit,1.509
hit,0.5541
hit,0.5267
hit,0.6349
hit,0.6313
hit,0.2925
hit,0.3991
