event_type,latency_ms
hit,0.1998
hit,0.1814
hit,0.1719
hit,0.1576
hit,0.1636
hit,0.1669
hit,0.1698
hit,0.1886
hit,0.1905
hit,0.2072
hit,0.1984
hit,0.221
hit,0.2177
hit,0.2756
hit,0.216
hit,0.2208
hit,0.2129
hit,0.2263
hit,0.2105
hit,0.2105
hit,0.1717
hit,0.2167
hit,0.2167
hit,0.2069
hit,0.2007
hit,0.1903
hit,0.2441
hit,0.2065
hit,0.2007
hit,0.2215
hit,0.2232
hit,0.2339
hit,0.1948
retry,3440.6633
hit,0.2849
hit,0.1893
hit,0.1459
hit,0.1652
hit,0.1638
hit,0.1497
hit,0.1552
hit,0.1462
hit,0.1557
hit,0.1464
hit,0.1371
hit,0.1383
hit,0.1423
hit,0.129
hit,0.1309
retry,2219.8262
hit,0.258
hit,0.174
hit,0.1521
hit,0.1507
hit,0.1411
hit,0.1433
hit,0.1433
hit,0.1476
hit,0.1616
hit,0.1943
hit,0.1934
hit,0.2012
hit,0.1848
hit,0.1645
hit,0.174
hit,0.1738
hit,0.1564
hit,0.1493
hit,0.1454
hit,0.1519
hit,0.1535
hit,0.1407
hit,0.1388
hit,0.1345
hit,0.1314
hit,0.1695
hit,0.1392
hit,0.1476
hit,0.1454
hit,0.1464
hit,0.144
hit,0.1643
hit,0.1729
hit,0.1957
hit,0.1764
hit,0.138
hit,0.1328
hit,0.1369
hit,0.1829
hit,0.1581
hit,0.1714
hit,0.1688
hit,0.1853
hit,0.1466
hit,0.1335
hit,0.1495
hit,0.1626
miss,6.9633
hit,0.1929
recovered,2.6734
hit,0.1528
recovered,2.0626
recovered,2.9814
recovered,2.0678
hit,0.2131
recovered,3.1133
recovered,2.063
hit,0.1726
hit,0.1516
hit,0.1585
hit,0.1707
recovered,2.0545
hit,0.1493
hit,0.154
hit,0.1514
recovered,2.3954
